Map: Time, Date
Journey Man 2:	3234.48,	2018-01-10 18:52:32
Ice Cave 1:	1224.14,	2018-01-12 14:26:05
rizek:	364.58,	2018-01-13 11:07:21
Fiasko:	610.1,	2018-01-15 16:59:30
NUT_short_race1:	6.74,	2018-01-16 03:09:24
Space & Time:	772.28,	2018-01-16 19:20:14
Skillz 4:	280.54,	2018-01-16 22:11:09
Midnight:	882.28,	2018-01-17 11:48:04
P2Z_Island:	342.82,	2018-01-17 13:54:54
slow:	213.16,	2018-01-17 18:11:40
Steff I beginning:	197.12,	2018-01-17 18:43:08
HeartOfMoon:	172.2,	2018-01-17 22:51:12
Chicken Pie 2:	292.54,	2018-01-18 23:22:39
Wrong Forest:	467.4,	2018-01-19 07:43:43
Hoo!:	117.98,	2018-01-21 11:54:40
Mystical Island:	1526.16,	2018-01-22 14:57:09
Cave Fly:	204.84,	2018-01-24 10:23:22
Uncharted:	606.88,	2018-01-24 15:24:43
Tube:	549.06,	2018-01-25 15:44:34
DeadEnd:	1446.58,	2018-01-25 20:36:20
drg5:	99.08,	2018-01-27 16:14:10
Spacetic:	221.32,	2018-01-28 20:47:26
Moon of the Jungle:	837.82,	2018-01-28 22:12:34
Interlude 2:	1412.68,	2018-01-29 02:16:32
Best Of:	1002.12,	2018-01-29 07:50:31
Determination:	328.98,	2018-01-29 20:39:19
Analyzer:	700.66,	2018-01-31 19:42:57
Gloomy Den:	2219.24,	2018-02-06 17:31:27
Chicken Pie:	42.62,	2018-02-08 04:36:32
Therapy:	2411.4,	2018-02-08 19:16:01
Roaming:	764.48,	2018-02-08 19:55:54
Captain America:	349.12,	2018-02-09 19:20:48
Nightmare:	1299.82,	2018-02-09 19:24:07
The Ultimate Rainbow:	259.66,	2018-02-09 19:31:23
Heaven:	230.46,	2018-02-09 21:45:25
Skyfly:	338.72,	2018-02-10 17:52:26
Bixnet:	378.72,	2018-02-10 18:31:36
At Night 2:	1619.18,	2018-02-10 18:53:34
NightSky2:	275.1,	2018-02-13 13:11:26
Generic Fly:	146.04,	2018-02-14 02:53:43
Skillz 3:	181.32,	2018-02-14 15:31:18
Lost:	892.3,	2018-02-14 19:01:22
Next Grey:	294.76,	2018-02-14 22:55:19
Madness 4:	692.24,	2018-02-15 01:34:26
NUT_short_race7:	2.4,	2018-02-15 23:46:36
Arcadian:	789.92,	2018-02-16 23:44:40
Goo!:	205.02,	2018-02-17 01:35:22
Executive:	120.06,	2018-02-17 01:52:07
HURT:	350.8,	2018-02-17 12:04:27
Angry 2:	770.6,	2018-02-17 18:03:41
Creepeez:	367.48,	2018-02-17 19:56:42
Angry:	493.94,	2018-02-17 20:33:18
SkyLand:	746.34,	2018-02-18 23:18:51
Excast 3:	304.24,	2018-02-19 14:04:51
Sonne, Mond und Sterne:	507.52,	2018-02-19 20:44:28
Lost 2:	1453.24,	2018-02-19 22:46:08
Cya Nerd:	525.26,	2018-02-20 16:33:55
4luvz:	101.16,	2018-02-20 19:50:56
Damage:	1173.98,	2018-02-21 00:28:34
Alpha:	176.76,	2018-02-21 07:55:55
smile:	351.56,	2018-02-21 20:27:44
Epic-Fail:	257.2,	2018-02-22 00:02:22
Everdeen:	137.84,	2018-02-22 01:52:30
Destiny 2:	960.28,	2018-02-24 23:57:59
Aim 4.0:	494.06,	2018-02-25 13:00:12
Rainboom:	829.44,	2018-02-25 18:23:54
Rockita:	771.64,	2018-02-25 20:31:47
Jvice:	305.3,	2018-02-26 11:59:49
chiseled:	328.3,	2018-02-26 15:14:11
Wour Forlds:	855.7,	2018-02-27 12:04:39
Victory 1:	511.92,	2018-02-27 14:25:48
Good Ol' Days:	409.16,	2018-02-27 15:58:56
Just Hookfly 2:	23.02,	2018-02-27 17:12:45
Desolation:	358.46,	2018-02-28 01:34:12
mazepack:	19.98,	2018-02-28 13:31:13
Good Ol' Days 2:	401.9,	2018-03-01 16:23:08
Adrenaline 5:	2301.18,	2018-03-02 16:45:54
Paranormal:	952.86,	2018-03-03 01:07:29
Batman:	83.0,	2018-03-04 00:31:20
Revolution:	338.48,	2018-03-04 00:40:25
Just deep fly:	284.96,	2018-03-04 12:33:57
Rampage:	570.54,	2018-03-06 00:51:29
Red Avenue:	686.96,	2018-03-06 21:10:03
Bittersweet Sunset:	248.42,	2018-03-07 13:10:22
M&M:	899.22,	2018-03-07 15:18:14
Miracle:	367.58,	2018-03-07 18:37:35
GreenDream:	327.98,	2018-03-11 14:21:02
Steff III peace:	128.76,	2018-03-12 21:15:51
Reload 4:	628.6,	2018-03-13 16:46:24
Adrenaline 4.1:	3057.54,	2018-03-16 00:23:22
Little Forest:	133.5,	2018-03-16 21:33:57
Illusion:	639.02,	2018-03-17 00:08:37
Impetuous:	30.06,	2018-03-17 05:29:55
Castle:	92.62,	2018-03-17 18:47:14
Red & Orange:	90.42,	2018-03-17 20:25:08
LaserTag:	163.04,	2018-03-17 21:10:02
Basics:	59.98,	2018-03-18 13:59:46
