No.,Map,Points,CountOfFinishedTees,MedianTime(min),PeX_time(min)
114,acq,8,499,2.56,7.52
115,Dust,18,501,40.81,21.0
116,Squidgy,11,505,37.97,31.08
117,run_frosty,6,506,5.54,3.56
118,Hardcore 10,21,511,40.22,20.95
119,ResidentSS,24,516,61.48,81.77
120,NUT_hardcore_race6,12,516,35.52,61.63
121,Verification 6.1,8,517,1.02,0.89
122,Aufnahmetest,12,523,2.54,2.07
123,SL1,12,524,20.08,16.07
124,Short Sky,8,527,0.41,0.44
125,GHB_DDrace,8,527,11.45,12.5
126,claret-blue,18,528,24.41,15.01
127,For You,15,530,26.79,53.96
128,Skyfly,16,531,25.67,16.65
129,run_radioactive,6,533,4.36,12.65
130,cimininxi,21,535,43.91,40.05
131,Redemption,11,537,48.64,56.54
132,UpNDown3,12,537,28.77,15.91
133,Paranoia,8,538,31.61,8.89
134,Paradise,18,543,7.99,4.17
135,Fender,13,543,35.24,24.81
136,No Merci,13,544,41.63,41.82
137,In Da House,21,544,56.41,61.17
138,Uniswim,8,545,0.84,0.86
139,Green,12,553,25.4,22.56
140,WoFs,18,554,154.18,182.57
141,Topsy Turvy,13,554,40.34,43.43
142,Deadline 1,16,558,88.17,87.28
143,Motherlode,13,558,31.99,38.84
144,DarkCore 3,12,559,29.93,25.47
145,Hopeless,12,561,1.67,2.41
146,NUT_hardcore_bestof,12,563,47.99,34.03
147,StrangeNight,12,564,27.67,31.44
148,Verification 3.1,8,564,2.25,1.65
149,Gedan,8,566,3.64,5.68
150,BlackBear5,12,566,0.52,0.58
151,Lykeion,12,568,21.65,13.0
152,Sadway,18,572,75.7,62.42
153,run_yellow_hell,6,574,6.67,16.03
154,BlueRift,12,575,30.25,26.21
155,chiseled,18,576,26.44,42.31
156,Dynamic,21,576,49.13,66.9
157,run_the_rock,4,578,11.44,32.36
158,Extension 2.0,8,579,8.26,13.58
159,Sacred Source,13,579,4.26,4.42
160,SkyCave,8,587,2.36,2.6
161,Synergy,12,588,66.58,59.3
162,run_dfc,6,588,12.16,28.99
163,allthewayup,21,588,39.11,42.13
164,-Ikarus-,16,591,43.76,107.7
165,Besbex,16,597,35.8,9.29
166,Tunak Tunak Tun,15,600,44.72,12.34
167,Yoko 1.1,21,601,26.42,14.36
168,Out of Castle,24,602,84.56,96.42
169,Venture,18,603,10.34,21.83
170,Koule 17,21,604,59.66,76.44
171,run_4mystery,4,604,6.04,6.16
172,Elitissimo,15,608,23.84,28.04
173,Excast 5,15,612,30.39,28.02
174,run_granit_stone,4,614,4.19,6.38
175,UnrealMap,6,616,33.33,28.23
176,Old Style,8,618,1.6,1.57
177,Spacetic,18,626,19.29,11.35
178,Lawliet,12,626,2.49,3.31
179,Sounds,11,630,38.51,30.83
180,zelda,6,635,12.0,9.06
181,Bubbles,13,639,63.71,48.31
182,Fucktastic,12,639,54.87,64.3
183,Verification 3.5,8,641,0.51,0.54
184,run_tee,4,642,6.6,15.98
185,Volcano,16,644,29.19,26.27
186,run_4tea,2,649,6.14,5.38
187,run_dragon,4,650,5.36,1.91
188,Dummy 2,11,651,5.66,3.73
189,Ultimatum 3,18,653,26.5,19.16
190,Fly Around,21,654,38.41,30.66
191,run_black_jack,4,660,6.13,2.27
192,Chaos 2,16,663,37.74,61.43
193,blue-mountains,16,663,45.53,31.97
194,Hell Fly,16,679,14.58,21.84
195,Theory Of Fail,8,680,6.86,4.6
196,back and forth,12,681,11.82,8.54
197,Ambrosia,16,684,22.72,15.96
198,Reload 1,12,687,19.35,3.65
199,Verification 3.3,8,689,0.95,0.86
200,Maranko,15,690,12.34,14.21
201,Sunrice,15,692,43.83,79.5
202,Fly Lessons,8,699,15.72,13.09
203,Curse,16,703,53.35,56.31
204,run_toxic_green,4,703,5.85,6.12
205,Bumblebee,18,703,47.19,50.46
206,Verification 2.2,8,704,0.33,0.38
207,Dead Island,12,706,27.49,29.26
208,Notice 1,16,707,37.69,14.42
209,Just Hookfly 2,6,709,8.71,0.74
210,Im No Superman 1,12,709,21.35,19.29
211,Memories,18,715,19.27,18.89
212,Everlast,13,715,30.52,31.96
213,Poreotics,12,717,26.26,9.91
214,Divinum V2,16,717,40.35,36.45
215,Broken brain,16,718,16.41,13.83
216,Caution,11,719,28.66,28.0
217,Rainbow Sunrise,13,721,43.74,42.0
218,SoManyStars,8,722,0.82,0.83
219,Fonders,18,723,53.66,34.88
220,Slow Santa,11,723,40.66,69.71
221,Red Japan,12,726,30.6,16.09
222,Jungle Run,8,728,1.35,1.53
223,UpNDown,8,728,3.59,3.18
224,Fantabob,16,728,27.73,15.01
225,Sonne, Mond und Sterne,11,731,36.57,25.95
226,The Tower,12,735,6.46,3.92
227,Outside,12,736,12.93,36.67
228,Felian,15,736,25.89,32.93
229,Confusion,20,737,77.35,101.64
230,run_FreezyFly,4,737,10.33,11.37
231,Herbstzeitlose,13,743,16.55,15.46
232,Aim 1.0,24,746,37.75,45.73
233,Jailbreak 1,12,752,48.37,13.98
234,Dusty Road,15,759,30.03,25.26
235,CreeperFace,12,763,37.12,30.93
236,NUT_hardcore_race4,8,768,34.66,4.09
237,Impossible 1,12,770,21.42,12.52
238,NoTeleBro,20,770,10.66,14.33
239,Short Con,8,772,4.98,3.19
240,Verification 3.0,8,772,0.99,0.99
241,Scabrous 2,20,773,78.65,75.52
242,Professional,18,774,43.68,47.66
243,Excast 2,15,775,27.07,21.49
244,Alaska,12,777,48.81,49.13
245,nameless map,13,781,22.27,31.92
246,SkipIt,12,785,0.76,0.55
247,Freeze Jungle,13,788,24.15,15.94
248,Skyisland2,16,788,16.24,8.0
249,Hubbel,13,789,28.83,22.96
250,Im No Superman 3,18,791,25.93,5.83
251,Night of Spikes,8,791,2.52,2.63
252,run_stoned,4,793,6.2,10.02
253,Ice,16,795,35.44,13.72
254,Repeat,12,798,26.48,39.26
255,run_firestorm,4,800,4.13,7.07
256,Lonely Swim 9.2,8,801,1.73,1.14
257,Drunk,12,802,19.88,8.34
258,Steff fastrun 5,4,805,3.89,3.35
259,ClassicMonkez,24,806,66.65,52.94
260,One Way,11,809,19.13,15.88
261,deadrun,8,809,0.82,1.22
262,Fall & Rise,15,812,34.23,22.26
263,Casthere,12,814,6.34,5.38
264,FindTheFreeze,9,815,14.66,13.95
265,run_ice_castle,4,815,7.54,13.0
266,PreciousDream,11,818,16.56,8.82
267,Mario_reloaded,13,820,42.67,37.96
268,Frats 5,12,820,29.7,23.79
269,Verification 2.1,8,820,0.7,0.53
270,pr0-move,4,829,9.72,15.11
271,Wrong Forest,11,832,30.57,19.98
272,BackToBasics,15,832,25.15,5.51
273,run_4tzoy,4,832,3.97,3.2
274,Aufnahmetest_AE,4,834,5.06,5.27
275,Desolation,16,840,22.28,16.68
276,Jailbreak 2,12,841,36.34,22.36
277,NUT_hardcore_race5,12,841,25.44,10.42
278,run_skizzpopo,4,845,7.96,25.13
279,Excast 4,13,845,28.83,18.74
280,PetJack,12,846,12.06,12.74
281,MysteryCompound,15,849,40.93,20.82
282,Verification 2,8,850,0.6,0.58
283,run_birthday,4,851,5.78,13.97
284,Explosive,12,852,60.15,76.46
285,NUT_race8,8,852,13.37,0.47
286,Plan A,11,854,43.24,23.62
287,Not Adrenaline 4,11,856,8.87,6.1
288,Scabrous,21,857,37.17,32.03
289,run_redbull,4,858,2.93,4.11
290,From Death to Destiny,21,862,7.97,4.72
291,lemonland,16,862,61.27,54.31
292,Toadsquad,11,863,23.78,21.94
293,Primeval Forest,15,866,20.31,8.5
294,run_longWAR,6,867,4.97,13.14
295,Hardstyle 2,12,874,30.76,14.01
296,Maximum,12,875,31.95,12.41
297,run_black_white,4,876,9.57,18.43
298,Aequilibrium,15,879,51.59,55.42
299,Jumanji,15,885,62.43,73.25
300,PetJack 2,12,889,11.41,16.62
301,Dawn To Dusk,15,893,56.47,49.16
302,Golden,11,896,22.28,13.68
303,run_pencil,4,896,2.25,1.29
304,Zadrotos 2,12,897,61.46,50.13
305,Equity [Easy],8,898,1.93,1.81
306,Universum 16,12,905,15.02,48.05
307,Tee Legends 2,8,908,2.06,1.86
308,Unlimited,12,910,38.75,19.15
309,Exchange,12,912,15.52,45.59
310,Bootcamp #1,13,919,43.06,37.68
311,Verification 3.2,8,919,0.78,0.91
312,SonQuery,12,922,20.78,16.99
313,black-mountains 2,12,923,22.45,11.75
314,Determination,18,933,36.32,30.74
315,Goldmoon,18,934,45.86,63.93
316,Construction I,15,936,56.34,50.37
317,run_nightmare,4,936,4.93,4.02
318,run_crystal,4,936,3.25,2.59
319,Zap,8,937,0.3,0.32
320,Rapture,13,938,46.18,16.41
321,Temple of Doom,15,939,71.23,60.47
322,BlackBear6,12,940,0.34,0.3
323,The Captive Mind,12,947,35.96,62.02
324,Night Jungle,16,948,63.85,77.45
325,run_hot_or_not,4,949,5.18,3.17
326,Hardcore 5,12,952,36.18,63.65
327,Rogue World,18,952,61.14,57.36
328,Lonely Swim 3,8,953,1.37,1.87
329,Frats 2,12,963,20.19,17.73
330,Paik,16,966,24.15,21.21
331,Tylost 2,12,967,22.08,11.13
332,Hopeless II,8,969,2.53,3.7
333,Lonely Swim 9.1,8,970,0.98,0.81
334,run_miniatur,4,970,3.16,4.99
