No.,Map,Points,CountOfUnfinishedTees,MedianTime(min)
729,Threesome,24,172,113.5
730,Hardcore 12,21,172,64.09
731,blur,18,172,5.97
732,Journey,21,170,52.4
733,run_inset_into_the_heavy_jungle,8,170,26.81
734,Fried,15,169,39.02
735,CHILLUMINATI,12,169,0.94
736,Zadrotos_final,18,169,69.89
737,Adrenaline,27,168,101.91
738,SavannaDrag 3,20,168,7.29
739,ghbdtn,16,168,27.29
740,Draxut,20,167,14.19
741,Green Agony,18,166,34.45
742,TryHard,27,166,114.02
743,2Long,12,166,10.71
744,Desert Dog,15,165,3.86
745,Stacked,20,163,10.71
746,Zadrotos 5,18,162,87.85
747,Chinatown,27,160,65.92
748,Chaos 4,16,160,31.57
749,run_2Rockets,8,159,14.04
750,run_galaxy,8,158,19.01
751,Spaceman,12,158,10.29
752,Hardstyle 4,24,157,41.88
753,It's Time,12,157,2.79
754,Insane,20,157,66.22
755,Sleepy 2,24,156,50.22
756,Perfect World,18,156,16.95
757,Genericore 7,24,156,51.27
758,Gigabyte,12,155,3.14
759,DeepDrag,30,154,63.25
760,Ntumba,16,153,52.22
761,Outlet,20,153,49.3
762,Anim,25,153,2.84
763,Cocaine,20,152,33.0
764,run_escape_the_darkness,8,151,11.98
765,Pentamine,27,150,63.07
766,Black & Red,16,149,83.99
767,Blue Hell,20,149,18.79
768,Intermediate,27,149,31.16
769,Verification 7.2,12,148,2.37
770,MonkeyStyle,24,148,89.19
771,-JustDoIt-,24,147,87.41
772,Limba,24,147,62.98
773,Cucumber,24,147,51.54
774,Uzmutulunculunbé,24,147,24.15
775,aled II,27,146,23.39
776,Aftermath,13,145,14.36
777,run_skizz_keres,8,145,21.43
778,PurpleHeaven,15,145,32.31
779,Toe Taps,20,143,9.12
780,sense,13,142,14.33
781,Autumn Sky,12,142,7.64
782,Crooked Mind,16,142,23.25
783,yoshiloop,8,142,13.15
784,The Uns,18,141,37.87
785,The Joke 2,21,141,67.4
786,TryThis,24,141,32.94
787,Danceoff,24,140,68.31
788,Crimson,24,139,78.14
789,Journey Man 2,27,139,152.72
790,Anoteex,12,139,35.2
791,Jaw'Eld,24,138,40.0
792,Cold Jungle,24,138,25.35
793,Imagination3,20,137,71.06
794,Dynasty,12,137,21.48
795,combo,12,136,2.22
796,nore,20,136,2.41
